scope,fishery_name,section_num,location
SN_MAIN,Snohomish fall salmon 2023,1,Cady Park- Snohomish
SN_MAIN,Snohomish fall salmon 2023,1,Langus
SN_MAIN,Snohomish fall salmon 2023,1,Lincoln St launch
SN_MAIN,Snohomish fall salmon 2023,1,Lowell Rd
SN_MAIN,Snohomish fall salmon 2023,1,Rotary Park
SN_MAIN,Snohomish fall salmon 2023,2,Bob Heirman
SN_MAIN,Snohomish fall salmon 2023,2,High Bridge (Confluence)
SN_MAIN,Snohomish fall salmon 2023,2,Lawson's
SN_MAIN,Snohomish fall salmon 2023,2,Oscar Hoover
SN_MAIN,Snohomish fall salmon 2023,2,Tester Rd/Lord Hill
SN_MAIN,Snohomish fall salmon 2023,2,west 522
SN_MAIN,Snohomish fall salmon 2024,1,Cady Park- Snohomish
SN_MAIN,Snohomish fall salmon 2024,1,Langus
SN_MAIN,Snohomish fall salmon 2024,1,Lincoln St launch
SN_MAIN,Snohomish fall salmon 2024,1,Lowell Rd
SN_MAIN,Snohomish fall salmon 2024,1,Rotary Park
SN_MAIN,Snohomish fall salmon 2024,2,Bob Heirman
SN_MAIN,Snohomish fall salmon 2024,2,High Bridge (Confluence)
SN_MAIN,Snohomish fall salmon 2024,2,Lawson's
SN_MAIN,Snohomish fall salmon 2024,2,Oscar Hoover
SN_MAIN,Snohomish fall salmon 2024,2,Tester Rd/Lord Hill
SN_MAIN,Snohomish fall salmon 2024,2,west 522
SN_SKY,Snohomish fall salmon 2023,3,Al Borlin Park
SN_SKY,Snohomish fall salmon 2023,3,Ben Howard Access
SN_SKY,Snohomish fall salmon 2023,3,Ben Howard Road
SN_SKY,Snohomish fall salmon 2023,3,Big Eddy Park
SN_SKY,Snohomish fall salmon 2023,3,Cracker Bar
SN_SKY,Snohomish fall salmon 2023,3,Lewis Street Launch
SN_SKY,Snohomish fall salmon 2023,3,Reiter Ponds
SN_SKY,Snohomish fall salmon 2023,3,Sultan Boat Launch
SN_SKY,Snohomish fall salmon 2023,3,Tualco
